product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;off;tls;on;true;speex-32000;h264;1080;off;on;594;1936;3353;2355;icq;off;auto;besteffort;true;pcma-8000;ulpfec;720;off;on;901;4796;487;3294;Failed
aim;on;auto;off;true;telephone-event-80000;red;360;on;on;772;2754;2366;4966;aim;off;tcp;besteffort;auto;g722-16000;vp8;360;on;on;618;2544;3359;3523;Connected
googletalk;on;tcp;on;false;silk-24000;auto;1080;on;on;1305;2221;4476;4456;googletalk;on;tcp;on;auto;gsm-8000;ulpfec;360;off;off;1461;970;2797;3054;Failed
icq;off;udp;besteffort;auto;telephone-event-80000;rtx;720;on;off;1161;1288;3742;3364;iptel.org;on;tls;off;false;speex-8000;vp8;720;on;on;986;3458;3839;2090;Connected
irc;off;auto;off;false;silk-12000;rtx;1080;off;on;1408;2494;1813;2328;ippi;off;tcp;besteffort;false;gsm-8000;auto;240;on;off;1096;1521;4763;750;Failed
icq;off;tcp;on;false;silk-24000;auto;1080;on;on;1054;709;828;1179;icq;on;tcp;besteffort;false;g722-16000;red;480;on;off;1003;4021;1652;468;Failed
googletalk;on;udp;off;false;ilbc-8000;h264;720;on;off;887;4859;4585;4478;sip;off;tcp;besteffort;true;silk-8000;red;480;off;on;822;1960;4164;3563;Connected
irc;off;tcp;off;true;silk-12000;red;1080;off;off;1393;3620;119;944;ippi;on;tcp;on;true;amr-wb-16000;rtx;720;off;on;1246;694;2744;108;Failed
googletalk;off;udp;besteffort;auto;speex-16000;h264;240;on;on;527;4562;3028;1372;aim;on;auto;off;true;silk-16000;red;1080;off;on;642;702;3195;4584;Failed
irc;off;auto;on;auto;silk-24000;red;360;off;off;1172;546;336;3774;aim;off;auto;besteffort;false;speex-16000;h264;240;off;on;522;3946;2507;1817;Connected
icq;off;tls;off;false;amr-wb-16000;ulpfec;480;off;on;998;212;4317;2819;ippi;on;tls;on;auto;speex-16000;rtx;1080;on;on;919;3463;1018;1615;Failed
