product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
aim;on;auto;off;auto;pcmu-8000;h264;1080;on;off;1490;1769;1324;3362;ippi;off;tls;off;false;ilbc-8000;ulpfec;1080;on;off;535;3451;3289;459;Connected
googletalk;on;auto;off;auto;pcmu-8000;h264;1080;on;off;1167;897;1397;3224;ippi;off;auto;off;true;pcma-8000;auto;1080;on;on;520;3451;400;3853;Connected
aim;on;auto;off;auto;pcmu-8000;h264;720;on;off;1490;1769;1324;3113;irc;off;tls;off;false;pcmu-8000;auto;360;on;off;685;4947;3169;4733;Failed
aim;off;auto;off;auto;pcmu-8000;h264;1080;off;off;1393;4500;970;197;iptel.org;off;auto;off;false;ilbc-8000;auto;720;on;on;535;4456;4827;2152;Failed
googletalk;on;auto;besteffort;true;ilbc-8000;h264;720;off;off;1490;4796;1324;3362;irc;on;udp;off;false;speex-8000;ulpfec;1080;on;on;581;1718;3289;459;Failed
aim;off;tcp;off;auto;pcmu-8000;h264;1080;on;off;699;2590;3296;3113;irc;off;tls;off;true;pcmu-8000;auto;360;on;off;520;4604;400;4333;Failed
aim;off;auto;on;auto;pcmu-8000;h264;1080;on;off;942;1576;520;3110;iptel.org;off;auto;off;true;pcma-8000;auto;360;on;on;524;4805;400;4194;Failed
googletalk;on;auto;off;auto;speex-8000;vp8;1080;off;off;971;4500;970;512;icq;off;auto;besteffort;true;pcma-8000;auto;360;on;off;535;422;400;4180;Failed
googletalk;off;tls;off;auto;silk-12000;vp8;1080;off;off;971;4500;970;197;iptel.org;off;auto;off;auto;pcma-8000;auto;360;on;off;535;4456;541;4180;Failed
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1490;1769;3841;3224;iptel.org;off;tls;off;true;pcma-8000;auto;360;on;off;548;3451;2568;4180;Failed
aim;on;auto;besteffort;auto;pcmu-8000;auto;1080;off;off;971;4500;970;197;h323;off;auto;off;true;pcma-8000;auto;360;on;off;520;4456;242;4180;Connected
