product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate;State
googletalk;off;auto;besteffort;true;silk-24000;ulpfec;360;on;off;1350;1324;209;4748;irc;on;tls;on;false;gsm-8000;rtx;1080;on;on;1201;93;4435;1815;Connected
iptel.org;on;auto;off;false;speex-32000;red;480;on;on;713;3834;3593;2614;aim;off;tcp;besteffort;true;amr-wb-16000;vp8;1080;off;on;927;4105;356;141;Failed
icq;off;auto;besteffort;auto;amr-wb-16000;ulpfec;240;off;off;996;4117;3116;2965;h323;off;auto;besteffort;true;silk-16000;red;1080;off;off;589;2634;1674;4155;Failed
irc;on;auto;besteffort;true;silk-24000;red;360;on;on;677;1480;2490;3298;aim;off;udp;on;true;silk-12000;red;240;off;off;1484;4634;3465;2107;Failed
ippi;on;udp;off;false;ilbc-8000;vp8;1080;on;off;1322;1323;4567;132;iptel.org;on;tls;off;auto;silk-16000;vp8;720;on;on;1474;379;1209;1491;Failed
iptel.org;on;tcp;besteffort;true;g722-16000;auto;1080;on;on;981;3151;3911;555;irc;on;udp;on;true;amr-wb-16000;vp8;720;off;off;1407;4240;3767;1513;Failed
irc;off;tls;on;true;silk-16000;red;240;off;off;1192;3554;598;2071;icq;off;udp;besteffort;auto;silk-16000;auto;1080;off;off;1226;3146;181;3161;Failed
sip;on;tls;on;auto;amr-wb-16000;auto;360;off;on;675;462;2650;4576;ippi;off;auto;besteffort;auto;g722-16000;h264;1080;on;off;668;1942;4388;2456;Failed
h323;on;tcp;on;auto;silk-16000;ulpfec;480;on;off;982;3402;706;341;irc;on;udp;besteffort;true;silk-24000;vp8;1080;off;on;538;2676;4711;1783;Connected
iptel.org;off;tcp;besteffort;false;telephone-event-80000;auto;480;off;off;768;1122;1230;2945;icq;on;udp;on;auto;speex-16000;vp8;360;on;off;1132;4161;4374;594;Failed
